epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
222,1.280,1.640,1.299,0.433,0.585,0.466,0.323
223,1.279,1.641,1.299,0.434,0.579,0.466,0.323
224,1.282,1.642,1.300,0.435,0.577,0.466,0.323
225,1.279,1.635,1.298,0.436,0.578,0.467,0.323
226,1.281,1.637,1.299,0.440,0.569,0.467,0.323
227,1.278,1.632,1.298,0.439,0.575,0.467,0.324
228,1.281,1.634,1.298,0.436,0.576,0.467,0.324
229,1.280,1.641,1.299,0.431,0.584,0.468,0.324
230,1.281,1.637,1.298,0.428,0.589,0.467,0.324
231,1.279,1.638,1.296,0.429,0.592,0.468,0.324
232,1.279,1.636,1.298,0.430,0.594,0.468,0.324
233,1.277,1.632,1.297,0.433,0.587,0.468,0.324
234,1.280,1.637,1.298,0.431,0.585,0.468,0.324
235,1.277,1.631,1.296,0.430,0.589,0.468,0.324
236,1.279,1.630,1.296,0.431,0.587,0.468,0.324
237,1.276,1.630,1.296,0.430,0.590,0.468,0.324
238,1.276,1.630,1.297,0.431,0.586,0.468,0.324
239,1.278,1.629,1.296,0.433,0.585,0.468,0.324
240,1.275,1.629,1.296,0.433,0.587,0.469,0.325
241,1.279,1.629,1.296,0.433,0.583,0.469,0.325
242,1.274,1.626,1.295,0.437,0.577,0.470,0.326
243,1.275,1.624,1.296,0.437,0.584,0.469,0.326
244,1.277,1.627,1.295,0.438,0.580,0.470,0.325
245,1.276,1.626,1.295,0.440,0.580,0.470,0.325
246,1.275,1.624,1.297,0.442,0.576,0.469,0.326
247,1.273,1.624,1.296,0.438,0.584,0.470,0.326
248,1.275,1.627,1.295,0.436,0.590,0.470,0.326
249,1.275,1.620,1.294,0.438,0.586,0.471,0.326
250,1.276,1.621,1.294,0.438,0.585,0.471,0.326
251,1.274,1.623,1.293,0.438,0.584,0.471,0.326
252,1.277,1.623,1.294,0.437,0.586,0.471,0.326
253,1.275,1.622,1.294,0.437,0.585,0.471,0.327
254,1.272,1.618,1.293,0.437,0.589,0.472,0.327
255,1.274,1.616,1.293,0.437,0.586,0.472,0.327
256,1.271,1.622,1.293,0.436,0.591,0.472,0.328
257,1.271,1.616,1.292,0.436,0.590,0.473,0.328
258,1.272,1.619,1.293,0.436,0.592,0.472,0.328
259,1.273,1.618,1.292,0.432,0.598,0.473,0.328
260,1.272,1.618,1.291,0.434,0.597,0.473,0.328
261,1.270,1.615,1.290,0.435,0.595,0.473,0.328
262,1.272,1.614,1.291,0.434,0.599,0.473,0.328
263,1.271,1.612,1.290,0.435,0.594,0.474,0.328
264,1.271,1.614,1.291,0.440,0.589,0.474,0.328
265,1.271,1.615,1.290,0.435,0.595,0.474,0.329
266,1.268,1.610,1.288,0.436,0.594,0.473,0.328
267,1.273,1.616,1.291,0.439,0.587,0.474,0.328
268,1.270,1.614,1.291,0.439,0.591,0.474,0.329
269,1.271,1.612,1.290,0.441,0.584,0.474,0.329
270,1.271,1.615,1.291,0.440,0.586,0.474,0.328
271,1.271,1.611,1.291,0.440,0.583,0.474,0.329
272,1.269,1.610,1.290,0.441,0.589,0.474,0.329
273,1.266,1.608,1.287,0.438,0.586,0.474,0.329
274,1.268,1.609,1.289,0.436,0.588,0.474,0.329
275,1.268,1.614,1.290,0.438,0.594,0.474,0.330
276,1.264,1.605,1.288,0.433,0.600,0.474,0.330
277,1.272,1.609,1.290,0.437,0.593,0.474,0.329
278,1.267,1.606,1.289,0.436,0.593,0.474,0.329
279,1.268,1.606,1.289,0.439,0.588,0.474,0.330
280,1.264,1.605,1.288,0.441,0.582,0.474,0.330
281,1.267,1.606,1.288,0.443,0.577,0.474,0.330
282,1.268,1.607,1.289,0.438,0.589,0.474,0.330
283,1.266,1.604,1.288,0.436,0.594,0.475,0.330
284,1.266,1.604,1.288,0.437,0.593,0.475,0.329
285,1.263,1.596,1.285,0.436,0.593,0.474,0.329
286,1.265,1.601,1.287,0.439,0.591,0.475,0.330
287,1.263,1.600,1.286,0.436,0.593,0.476,0.330
288,1.266,1.602,1.289,0.438,0.591,0.476,0.330
289,1.266,1.600,1.286,0.439,0.588,0.476,0.330
290,1.267,1.604,1.286,0.440,0.587,0.476,0.330
291,1.267,1.597,1.286,0.443,0.585,0.476,0.330
292,1.265,1.602,1.286,0.445,0.582,0.476,0.330
293,1.264,1.597,1.286,0.443,0.584,0.475,0.330
294,1.262,1.597,1.284,0.446,0.584,0.476,0.331
295,1.263,1.595,1.286,0.446,0.587,0.476,0.331
296,1.262,1.593,1.287,0.444,0.586,0.477,0.331
297,1.263,1.597,1.285,0.442,0.593,0.477,0.331
298,1.266,1.596,1.287,0.442,0.592,0.477,0.331
299,1.263,1.597,1.286,0.444,0.586,0.477,0.332
300,1.263,1.595,1.285,0.442,0.591,0.477,0.332
301,1.263,1.596,1.286,0.442,0.596,0.478,0.332
302,1.263,1.595,1.286,0.441,0.595,0.478,0.332
303,1.262,1.595,1.285,0.443,0.589,0.478,0.331
304,1.262,1.586,1.285,0.443,0.590,0.478,0.332
